sha,date,tier,area,files,status,note,subject
a8fc29e87a,2026-04-18,D,cpp,2,,,Mobskills only trigger resonance on main target
1945d7567a,2026-04-19,D,cpp,2,,,Crit fail synthesis when taking damage
3ee570ea73,2026-04-19,A,cpp+lua+sql,4,conflict,does not apply cleanly onto 9e6f10c2fb,"[trust, sql, lua, core] Gessho adjustments and Issekigan Job Point crash fix for trust (#9826)"
7d8c3ccc61,2026-04-19,D,lua,1,,,Chuchuroon patrol nodes
cfe29a77c2,2026-04-19,D,cpp+lua,3,,,[lua] Have core use lua functions for fSTR
d8cf19cf0e,2026-04-19,D,lua,2,,,[lua] Premium Mogti WS Message
e9f5f08d66,2026-04-19,D,cpp+lua,2,,,Cap targetfinding vertical search to 8/8.5y
edef4911f6,2026-04-19,D,lua,2,,,Improve mobskill status effect handling and application
1ad85a152c,2026-04-21,D,lua,3,,,[lua] What Price Loyalty quest
21de603203,2026-04-21,D,lua,1,,,Raising: Even more White Handkerchief quest latching
3fd22d2ce3,2026-04-21,D,lua,4,,,[lua] Fire in the Hole quest
470ed46487,2026-04-21,D,lua,6,,,"Raising: Remove synthetic events, general cleanup"
51ed28c235,2026-04-21,D,lua,3,,,[lua] Quelling the Storm quest
5d91a64974,2026-04-21,D,lua,5,,,Raising: Clean up stat packing and condition reporting
61711a6736,2026-04-21,D,lua+sql,20,,,[lua] [sql] H2H Mobskills
6f6d2d0850,2026-04-21,D,lua,3,,,Raising: Confirm force-naming at ADULT_3
717e747fd7,2026-04-21,D,lua,3,,,[lua] Beneath the Mask quest
7eac0756e7,2026-04-21,D,lua,1,,,Raising: Hide more information from PRESENT_CHOCOBO_APPEARANCE
828c198cfd,2026-04-21,D,lua,3,,,Raising: Don't accumulate energy usage through full report
8c40c8ba35,2026-04-21,D,lua,3,,,Raising: Clean up White Handkerchief quest latching
8c58e5d6e4,2026-04-21,D,lua,4,,,Raising: Handle initial care plan shifting and reporting
9b4c921ab9,2026-04-21,D,lua,1,,,Raising: Map out care plan menu
b050bff13a,2026-04-21,D,lua,1,,,[lua] Bahamut BV2 Message
b4af979fb3,2026-04-21,C,lua,5,conflict,does not apply cleanly onto 9e6f10c2fb,Raising: Trying to correct care plan overrun
b9668c1f96,2026-04-21,D,lua,3,,,[lua] Truth Lies Hid quest
bb8c05a42b,2026-04-21,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Prevent client lockup during Brygid The Stylist Returns
bc1017fd0a,2026-04-21,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Raising: Fix GM stat printing
c3a0118ac0,2026-04-21,D,lua,1,,,Raising: Clean up REGISTER_CHOCOBO_WHISTLE
c5d84ff272,2026-04-21,D,lua,1,,,[lua] Evisceration bugfix
cfdc9ca394,2026-04-21,D,lua+sql,7,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=no,[lua] Bonds of Mythril quest
d9336ca974,2026-04-21,D,lua,3,,,[lua] Honor Under Fire quest
d9e47a0e23,2026-04-21,D,lua,5,,,"Raising: First pass of Chocobo Whistle questing, registration, and usage"
ddbae9eb03,2026-04-21,D,lua,4,,,Raising: Handle White Handkerchief quest
e129416c26,2026-04-21,A,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Raising: Don't leak appearance data before it's time
e5670ec0d8,2026-04-21,D,mod,3,,,"[lua, sql][module] Remove OOE HELM items"
e69a5a7334,2026-04-21,D,lua+sql,19,,,[lua] [sql] Dagger mobskills
f80252b243,2026-04-21,D,lua,1,,,Raising: Clean up INTRO_MENU_PT_3
03a3bccfac,2026-04-22,D,lua,7,,,Raising: General VM cleanup
40d50c4ecc,2026-04-22,C,lua,3,conflict,does not apply cleanly onto 9e6f10c2fb,Raising: Fix forced retirement
6ecb3c48d0,2026-04-22,D,mod,1,,,[lua] [module] Implement old TP gain as module
802a3ef02e,2026-04-22,D,lua,4,,,Raising: Tidy walks
9a7b71dbf1,2026-04-22,D,lua+mod,2,,,[Module][Quest] Home Point Era Menu
8512dd8d0e,2026-04-23,D,lua+sql,16,,,[lua] [sql] Great Sword Mobskills
9a2000d7c6,2026-04-23,B,cpp+lua,5,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Unify more Core/Lua TP Functions
a51859a5f7,2026-04-23,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Fix impetus setMod() usage
b2e1d6152c,2026-04-23,C,lua,2,candidate,"applies cleanly, not yet built or reviewed",Fixes Bind allowed resist state value and duration calculation
c60b2c6cb2,2026-04-23,D,lua,1,,,[lua] Add Choke Effect to Gale Axe
6f266955fe,2026-04-24,D,lua+sql,16,,,[lua] [sql] Axe Mobskills
8bd2e5ce35,2026-04-24,C,lua,2,candidate,"applies cleanly, not yet built or reviewed",[lua] Repeatable Quest Fixes
9df0249ef1,2026-04-24,D,lua+sql,16,,,[lua] [sql] Greataxe mobskills
0ee3ef8c89,2026-04-25,D,lua+sql,16,,,Implement katana mobskills
14215930ed,2026-04-25,D,cpp,59,skip-large,"59 files, structural",Route all item creation/lookups through xi::items
18f3937799,2026-04-25,D,lua+sql,16,,,[lua] [sql] Scythe Mobskills
44986d4730,2026-04-25,D,lua+sql,17,,,Great Katana Mobskills
4e945602bf,2026-04-25,C,sql,2,conflict,does not apply cleanly onto 9e6f10c2fb,[sql] Fixes several droplist typos in mob groups
50b9e43b63,2026-04-25,D,lua+sql,19,,,[lua] [sql] Staff Mobskills
513e98eca4,2026-04-25,D,lua+sql,19,,,[lua] [sql] Club Mobskills
64efc5afb0,2026-04-25,D,lua+sql,16,,,Implement polearm mobskills
85e587657b,2026-04-25,D,lua+sql,13,,,[lua] [sql] Archery Mobskills
f02032d278,2026-04-25,D,lua+sql,3,,,[lua] Fafnir Audit
1b38530215,2026-04-26,D,lua,2,,,Raising: Map out chocobo visible mood opcode
24c73e75b9,2026-04-26,D,cpp+lua,10,,,"Items, containers tests"
5809128782,2026-04-26,D,cpp,1,,,Limit HQ2 and HQ3 results depending on HQ tier
9b6fc82a8b,2026-04-26,D,cpp,6,,,ItemState and badge-gated mark() role transitions
9f0cec30fe,2026-04-26,D,lua,7,,,[lua] Convert COR AF2 to Interaction Framework
c0b97f514d,2026-04-26,D,lua,1,,,Raising: Map out ability learning flow
c6151f097c,2026-04-26,D,mod,3,,,[lua][module] Adds blocks for certain door related KIs
faf562cf7e,2026-04-26,D,lua,3,,,Raising: Map out the rest of xi.chocoboRaising.cutscenes
2c910c95ab,2026-04-28,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] print an error if a mob droplist is empty
44cfeef944,2026-04-28,D,cpp+lua+sql,10,,,[chore] Starts mob ecosystem cleanup
476f01dd8c,2026-04-28,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Skip sub slot if main is h2h with /lockstyleset #
6186f7998f,2026-04-28,D,sql,1,,,Adjust several MNK NMs to observed delays
9098bafbd2,2026-04-28,B,cpp,4,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Adjust EXP Rate settings & mechanics
91ecfa2721,2026-04-28,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,[lua] Chocobo riding game reward fix
a665389800,2026-04-28,D,lua,1,,,[lua] Ouryu Bugfix
ab2cec16fb,2026-04-28,D,lua+sql,15,content-queued,see content_queue.csv; new_text_keys=10; applies_clean=no,Puppetmaster LB Fight
b217bbe79d,2026-04-28,D,sql,2,,,"[sql] Enable some drop pools, disable drop pool for another"
eaa872628f,2026-04-28,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Update Dialogue to reference correct brother in The Competition
f3a4be9921,2026-04-28,D,lua,2,,,"[lua] Give Peg Powler a PH, upgrade spawn rate"
513c916fe8,2026-04-29,D,cpp+lua,24,,,Encapsulate PC equipment and set ItemState
6db292dde7,2026-04-29,D,lua,2,,,Raising: Add breeding.lua (not hooked up yet)
9848ba067a,2026-04-29,D,lua+sql,7,,,"Mnejing, gambits, scripts, sql and mob_skill.lua additions"
26b589630e,2026-04-30,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Only queue equip update if item was equipped
34168826a5,2026-04-30,D,lua+sql,5,adopted,content ported 2026-08-21; IDs.lua text kept ours; 265/265 tests,[lua] [sql] Implement Hyakume
3c725763a6,2026-04-30,C,lua,4,conflict,does not apply cleanly onto 9e6f10c2fb,[lua] Fixes 3 mobskills
70c7c43530,2026-04-30,D,lua,1,,,[lua] Check if any NM in the PH list is spawned or going to spawn
82e911e67f,2026-04-30,B,cpp,3,conflict,does not apply cleanly onto 9e6f10c2fb,[core] equip sync: remove stale references from items being deleted
ce918a1ac6,2026-04-30,D,lua+sql,4,,,[lua] [sql] Barrage support to ranged attacks
dec3f9bf70,2026-04-30,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[SQL] Correct Four of Batons dropid
e90b78a9f0,2026-04-30,D,lua,3,content-queued,see content_queue.csv; new_text_keys=0; applies_clean=no,[lua] Enable spawning of both Tom Tit Tat copies
3de0444bb6,2026-05-01,D,lua,1,,,Adds getLocalVars table for LLS
68207f8f75,2026-05-01,D,lua,1,,,Add player and trial table check to magian onMobDeath function
90bc6d3543,2026-05-01,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Conflict fix for automaton skills in mob_skill.lua
aa792dc268,2026-05-01,D,lua,1,,,Adds event 171 default action to qm_cancel_escort in Grand Palace
d66a0068ce,2026-05-01,D,sql,1,,,Adjust Foreseer's delay back to 240
dfdc2eb3b9,2026-05-01,D,lua+sql,2,,,Adjust Tyrannic Tunnok to a 7 hit
081768a45e,2026-05-02,B,cpp,2,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Remove some NM only mods (no proof exists)
102696895b,2026-05-02,D,lua,15,,,[lua] Convert COR AF3 to Interaction Framework
6f370bd1ce,2026-05-02,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] Fix Fluorescence target flag to self
7a67757295,2026-05-02,D,cpp,5,,,Core: Turn REPLACE INTO into upserts
a7f0e29d37,2026-05-02,D,cpp+sql+tools,3,,,Core: make chocoboRaisingInfo upserts
f16d96f3da,2026-05-02,D,lua+sql,7,,,ISNM3k Compliments to the Chef adjustment
6d6250afb8,2026-05-03,D,cpp+lua,17,,,Engine: Add runtime navmesh generation
7f67b5b510,2026-05-03,D,cpp+lua,14,,,Route item usage through transactions
b1bfb898ee,2026-05-03,D,mod,1,,,[lua] [module] Lamian Fang Key Conquest Timer
b3c4bee0b8,2026-05-03,B,cpp,3,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Use message to determine if spell had no effect
b99511e59b,2026-05-03,B,cpp,5,conflict,does not apply cleanly onto 9e6f10c2fb,[core] add CLuaItemPuppet
cd81c85a4a,2026-05-03,C,sql,1,conflict,does not apply cleanly onto 9e6f10c2fb,Mob 2hr TP Flag Fix
da9587ebfe,2026-05-03,D,sql,1,,,[sql] Update pepperoni price
e483a2ad50,2026-05-03,D,cpp+lua+sql,21,,,[cpp] Adds missing ranged attack animations
f71b7c26a4,2026-05-03,D,cpp,2,,,Bump ximeshes version
fa0be330bb,2026-05-03,C,cpp+lua,2,conflict,does not apply cleanly onto 9e6f10c2fb,Fix Blu physical spell miss message
fcd81c9f7d,2026-05-03,D,lua,1,,,[lua] Chicken Knife
05bcd7c7d7,2026-05-04,D,cpp,1,,,gambits_container RANDOM TP amount trigger
0c9fbf0af0,2026-05-04,B,cpp+lua+sql,22,content-queued,see content_queue.csv; new_text_keys=0; applies_clean=no,[core][lua][sql] Movalpolis Patrols and Guards
13f848373b,2026-05-04,D,lua+sql,27,,,[lua] [sql] Pulling the Strings
1ff35028fb,2026-05-04,D,cpp,3,,,"Core: Flatten CPetController::DoRoamTick logic, general tidy"
27c2e46850,2026-05-04,D,cpp+lua,5,,,synth HQ rate xi_test
2d7ee273f9,2026-05-04,D,lua+sql,4,,,ISNM 3k Happy Caster adjustment
2fc4414681,2026-05-04,D,lua+sql,2,,,[lua] [sql] Implement Lamiabane
339b47616e,2026-05-04,D,cpp+lua,8,,,Streamline ATTACK/ON_ATTACK effects removal handling
362730de64,2026-05-04,D,cpp+lua,3,,,Cancel fishing on hostile action received
4a0bcae26f,2026-05-04,B,cpp+sql,3,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Refactor getBarrageShotCount to allow trusts to use it
55fedfe03f,2026-05-04,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",[lua] Fix Water Way to Go trade item not consumed on completion
5ef93fa7b3,2026-05-04,D,cpp+lua,23,,,Route synthesis through SynthTransaction
6ed1f18e42,2026-05-04,D,sql,2,,,[sql] Snakeeye / Snakeeye+1
741fe6c22f,2026-05-04,D,cpp+lua,3,,,"[cpp] adds entity:getMasterThreatMob - Adds function for entities, inspired by trusts, to get the notoriety list of their master on mobs within a specified range"
7f9214a64f,2026-05-04,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Adjust some logic for BST pets causing heap corruption
8225b3cc7b,2026-05-04,D,sql,1,,,[sql] Toreadors Cape Crit Rate
9b7b0c2962,2026-05-04,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Dual Wield Setup
a77d99767c,2026-05-04,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",[lua] Fix Kumhau the Flashfrost Naakual cutscene exit position
a8783e99b8,2026-05-04,D,lua,1,,,[lua] Add rank requirement to signet staves
c92e8b70b8,2026-05-04,D,lua,1,,,style check for royal_savior.lua
cb1ea02dc9,2026-05-04,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",Fixes augment 1152 - DEF +10
d493983159,2026-05-04,D,sql,1,,,[sql] Add BARRAGE_COUNT item mods where applicable
dc58a21a08,2026-05-04,D,lua,1,,,[lua] Charmed Pet/MNK Mob TP Returns
dcda80382e,2026-05-04,B,cpp,2,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Simplify magic/ranged state hasMoved()
ef51755e6d,2026-05-04,D,lua+sql,7,,,rughadjeen and trion gambits and skills
f0de2d8599,2026-05-04,D,lua+sql,2,,,[lua] [sql] Balmung AE Dispel
5317653553,2026-05-05,D,lua+sql,4,adopted,content ported 2026-08-21; IDs.lua text kept ours; 265/265 tests,[lua] [sql] Improve Hundredfaced Hapool Ja
5566b0d912,2026-05-05,D,cpp,4,,,Stamp Scheduler on MapSession at creation
7a189911ad,2026-05-05,C,cpp,2,conflict,does not apply cleanly onto 9e6f10c2fb,[cpp] fixes ranged job abilities - Removes shadow bug for double and triple shot (+40% activation rate over what's shown on mod::double_shot_rate and mod::triple_shot_rate
87ea21db25,2026-05-05,D,lua+sql,7,,,Return to the Depths Fight
0ef9a90ce9,2026-05-06,D,lua+sql,9,,,[lua] [sql] Troll Automaton Mixin
2471cf5582,2026-05-06,A,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,Core: Fix packBits heap-buffer-overflow.
24beaf4ebf,2026-05-06,D,mod,1,,,[lua] [module] DEL duplicate module Lamia Fang Key timer
364613c83d,2026-05-06,D,lua,2,,,Give Peace a Chance Full inv event
424969c092,2026-05-06,D,cpp+lua,6,,,[cpp] Combined trust and char ranged attack code to battle entity
5ebe9a2165,2026-05-06,D,other,1,,,Link earcut.hpp; polygon triangulation lib
6ee8fcc214,2026-05-06,D,other,1,,,Link rapidyaml; YAML parsing lib
73f06a800f,2026-05-06,D,cpp+lua,23,,,"[cpp, lua] Change delay to have the in-game input instead of milliseonds"
950206ef69,2026-05-06,D,sql,3,,,[sql] Expansion Flock Bat SkillList Audit
a57e9c9e8c,2026-05-06,D,cpp+lua,5,,,Lazy load instances
fb484cd306,2026-05-06,D,lua,2,,,[lua] curio moogle 2025-26 Q1
0beb1b0644,2026-05-07,D,cpp,8,,,Remove mentions of losmeshes
0c4426dddd,2026-05-07,D,sql,1,,,Add missing NO_CANCEL to effects
2966c451aa,2026-05-07,D,cpp+lua,5,,,Core: Add safety check to entity:canSee(...) binding
2ded4c9f3e,2026-05-07,D,cpp,1,,,Core: Clean up Vector3
2ee4c8fee9,2026-05-07,C,cpp,1,candidate,"applies cleanly, not yet built or reviewed",Fix cross-family mob linking in Einherjar
5e0bc8a733,2026-05-07,D,sql,1,,,Set Purgonorgo 'Jagil' mob to non-agressive
6f4eae08eb,2026-05-07,D,lua+sql,6,adopted,content ported 2026-08-21; IDs.lua text kept ours; 265/265 tests,[lua][sql] Rapid Raptors
9730950e35,2026-05-07,C,lua,2,conflict,does not apply cleanly onto 9e6f10c2fb,Ode to the Serpents follow up quest conditional fix
9889607e81,2026-05-07,D,sql,1,,,Add missing HIDE_TIMER to effects
c37a7c8123,2026-05-07,D,other,1,,,[cmake] Update MariaDBCPP commit
cf8ddf8adb,2026-05-07,D,lua+sql,2,,,Add missing status effects
dd80a48a2b,2026-05-07,D,other,2,,,Removed losmeshes submodule
f78196c245,2026-05-07,D,cpp+lua,47,skip-large,"47 files, structural","Core: Use ximesh for raycasts, remove LOSmeshes"
fbe47927ed,2026-05-07,D,sql,1,,,Synthesis 'Dawn Mulsum' content_tag ABYSSEA
fd5da905cd,2026-05-07,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,[lua] Fix physical mobskill missing enmity update
20cf73bf35,2026-05-08,D,cpp,6,,,[cpp] Allows dualWield to be changed on the fly
3052195bae,2026-05-08,D,lua,1,,,Add player nation to Thf Af3 Cutscene
32f14ed19a,2026-05-08,D,lua,1,,,[lua] Add level penalty to picklocking treasure chests / coffers
4ca4bd0a1b,2026-05-08,D,lua,1,,,Add support for drain-like AEs
7bbaa8626a,2026-05-08,D,cpp,3,,,Core: Improve ximesh raycast around block.hasBarriers
9b04ff24d3,2026-05-08,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Fix 2 broken `onTriggerAreaEnter` cases
a1a38bf080,2026-05-08,D,cfg+cpp,2,,,[cpp] Adds setting for era recast time
b301eb222d,2026-05-08,D,lua+sql,3,,,[lua] Pulling the Strings Bugfixes
bdcbd88a78,2026-05-08,D,lua,1,,,[lua] Pulling the Strings Improvements
c1294fff64,2026-05-08,C,lua+sql,7,conflict,does not apply cleanly onto 9e6f10c2fb,[lua] [sql] Various BCNM Fixes
d3068fb588,2026-05-08,D,sql,1,,,[sql] Movalpolis Goblin Skill List Audit
e354e274c5,2026-05-08,D,cpp+lua+sql,17,,,Allow spells to set knockback and distortion in packets
f759c3d294,2026-05-08,D,lua+sql,2,,,[lua] Royal Jelly Refactor
0940d47bfe,2026-05-09,D,cpp,4,,,/itemsearch support
1f243b2015,2026-05-09,D,lua+sql,3,,,[lua] [sql] Up in Arms Improvements
2761d66d60,2026-05-09,D,lua+sql,7,content-queued,see content_queue.csv; new_text_keys=12; applies_clean=yes,Moment of Truth implementation
80cf557f50,2026-05-09,D,cpp+lua,4,,,Lua bindings for PC-to-PC trades tests
82249ebec3,2026-05-09,C,sql,1,conflict,does not apply cleanly onto 9e6f10c2fb,[sql] Fixes promy dem mob name
8f765132f3,2026-05-09,D,cpp+lua+sql,9,,,"[trust, sql, lua, core] Valaineral gambits, mods, spells, gambit support (#9947)"
ae26c6d65f,2026-05-09,C,lua+sql,3,candidate,"applies cleanly, not yet built or reviewed",Behemoth NM Audits Resists Fix
29f39a77fe,2026-05-10,D,lua+sql,3,,,[lua][sql] Moblin Scalpelman/Gurneyman Spell Lists
5c744a8dda,2026-05-10,D,cpp+lua,5,,,Lua bindings to get/set MMM unlocks
765afd8ae8,2026-05-10,D,cpp,10,,,Load and send MMM unlocks to player
c0ff0448db,2026-05-10,D,sql,1,,,Add missing RACC for Demon Arrow
ccd864a802,2026-05-10,D,lua,5,,,[lua] Holy Cow
d1acdc8fe7,2026-05-10,D,sql+tools,2,,,Add MMM unlocks to char_unlocks table
de9b3c30c4,2026-05-10,D,lua,3,,,[lua] Bahamut TP Move Cleanup
e9ea19f2d3,2026-05-10,D,lua+sql,113,skip-large,"113 files, structural",MMM Rune/Vouchers unlocks
1ab44d853c,2026-05-11,A,cpp+sql,2,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[cpp] Fixes underflow in avatar perpetuation
2253df7449,2026-05-11,D,lua,294,blocked-client,"shifts zone text IDs, our client is pinned",30260429_1 Strings
484030505b,2026-05-11,D,cpp+lua+sql+tools,22,content-queued,see content_queue.csv; new_text_keys=15; applies_clean=no,Linkshell Concierge support
4ad9ebd12c,2026-05-11,D,lua+sql,3,,,[lua] [sql] Dragon Poison Breath
6e7468d7b0,2026-05-11,D,cfg,1,blocked-client,"CLIENT_VER bump, never take while pinned",Bump CLIENT_VER to 30260429_1
77730f434d,2026-05-11,D,cpp+lua+sql,36,,,"[cpp, lua, sql] Implements new family system"
7814f114cd,2026-05-11,D,lua,1,,,Mocking Colibri base dmg adjustment
802b262769,2026-05-11,D,sql,1,,,[sql] Add Elementals Ancient Magic
e01e08b598,2026-05-11,D,lua+sql,10,,,Shots in the Dark
e59f347594,2026-05-11,C,tools,1,candidate,"applies cleanly, not yet built or reviewed",fix(dbtool): open modules/init.txt with utf-8 encoding
ef171074aa,2026-05-11,C,sql,1,conflict,does not apply cleanly onto 9e6f10c2fb,Fix bad polutils name
0265e51c80,2026-05-12,D,lua,75,skip-large,"75 files, structural",[lua] Superlinking
7bcf565bf6,2026-05-12,D,lua,1,,,UO spelllist logic
8607dc0410,2026-05-12,D,lua,18,,,Add ENM Timer NPCs and some additional ENM KIs
b25b252654,2026-05-12,D,lua+sql,5,,,Crustacean Conundrum
b432c7de9f,2026-05-12,D,lua+sql,2,,,Watch Wamoura adjustment
d51f0f9939,2026-05-12,C,cpp+lua,3,conflict,does not apply cleanly onto 9e6f10c2fb,[cpp] Fixes ordering of mods applied in bcnms
a3ae784c13,2026-05-13,D,lua+sql,10,,,Khimaira Audit
d94be24d66,2026-05-13,C,mod,1,conflict,does not apply cleanly onto 9e6f10c2fb,[lua][module] BST Era Bug Fix
ed4ad5bac7,2026-05-13,C,lua,3,candidate,"applies cleanly, not yet built or reviewed",[lua] AA MR Pet Fix
7913999d3e,2026-05-14,C,cpp,1,candidate,"applies cleanly, not yet built or reviewed",Fix Automaton Skill Lookup
992b88a019,2026-05-14,D,lua,1,,,Convert Bugfix
c6ac4eea1c,2026-05-14,D,lua+sql,2,,,[lua] [sql] Implement Dainslaif's add effect
cf7257a76f,2026-05-14,D,sql,3,,,Crawlers Nest [S] Apex and Locus mobs
15db68d7ef,2026-05-15,D,cpp+lua,2,,,Allow ammo to be consumed while equipped
1fdd0c2088,2026-05-15,D,lua+sql,15,content-queued,see content_queue.csv; new_text_keys=0; applies_clean=no,"Stage 1 Maat Migration to Individualized Luas (War, Rng, Blm)"
262c61af66,2026-05-15,C,cpp,1,candidate,"applies cleanly, not yet built or reviewed",Fix hit distortion wrap on overkills
2700e15c88,2026-05-15,D,lua+mod,20,,,Automaton mobSkill Refactor
38b4e16eb9,2026-05-15,D,cpp,2,,,Carry ItemUse transaction on PChar for dtor order
3eb7de22a9,2026-05-15,D,cpp,1,,,Send item unlock packet on craft material saved
653d23a1fa,2026-05-15,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Don't clobber look string data on entities with no size data
80a015d6cb,2026-05-15,D,sql,1,,,Add missing steal to Antican Praetor and Legatus
9c9a9a121d,2026-05-15,C,lua+sql,4,candidate,"applies cleanly, not yet built or reviewed",Fix Rice balls latent values on gear
b0c92c29de,2026-05-15,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",[lua] Fixes nil errors in Disaster Idol spell choose
b598214cb5,2026-05-15,B,cpp,2,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Use slot to determine delay for TP return
e27e7da5df,2026-05-15,D,cpp+lua+sql,34,,,"[cpp, lua, sql] Renames family to species"
e395d19bf7,2026-05-15,D,sql,3,,,Adds Alzadaal Undersea Ruins missing mobs
22913d0cbc,2026-05-16,D,cpp+lua+sql,18,,,"[trust, sql, lua, core] Trust Tank audit and cleanup (#10002)"
a2b79a53d4,2026-05-16,D,lua+sql,3,,,[lua] [sql] Mammet Bugfixes
dbc2618458,2026-05-16,D,cpp+lua+sql,39,,,"[cpp, lua, sql] Renames superFamily to Family"
481c948fa5,2026-05-17,C,lua,3,candidate,"applies cleanly, not yet built or reviewed","Nyzul fixes: NM coffers, Friars Lanterns, removePathos"
67ad4900b9,2026-05-17,D,lua+tools,4,,,[lua] Add progressOptionalCutscene hook and update battlefield
6fcb0ffbef,2026-05-17,D,lua+sql,4,,,Locus Fiddler Crabs in Bibiki Bay
9a416810b2,2026-05-17,D,sql,3,,,Campaign mobs
a475f8b765,2026-05-17,D,sql,2,,,Campaign NPCs
fa08ef80ae,2026-05-17,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",Fix Pantin Tobe +1 pet acc bonus
0b4090fc19,2026-05-18,D,cpp+lua,5,,,[cpp] Add lua binding for setting stat ranks
43fce702b9,2026-05-18,D,sql,3,,,Sortie mobs
6095e0587e,2026-05-18,D,lua,1,,,[Lua] Change Bonnacon window to 1 hour (#10057)
aa44681160,2026-05-18,D,sql,3,,,Reisenjima Henge TVR mobs
aaf72b0921,2026-05-18,D,mod,13,,,WS Module Update
d2df74d2e4,2026-05-18,D,sql,3,,,Odyssey mobs
d9f19cea64,2026-05-18,D,lua,1,,,Nocuous Weapon Spawn Time
db5669d938,2026-05-18,D,sql,3,,,Ruhotz Silvermine / Ghoyu's Reverie mobs
f3ff385bb5,2026-05-18,C,cpp,1,candidate,"applies cleanly, not yet built or reviewed",[cpp] Fixes mobs that aggro by sight and sound
faba088cf7,2026-05-18,D,cpp,5,,,[cpp] Enable cutscene immunity on zone-in events
410a1aa2ff,2026-05-19,D,sql,1,,,Set Oldton Movalpolos Stirge to nonaggro
464f7b4a86,2026-05-19,D,lua+mod,5,,,[lua] Automaton Replicator
a1d598f515,2026-05-19,D,cpp,1,,,[cpp] Stop actions against locked players
bf0ebbf00e,2026-05-19,D,cpp,5,,,[cpp] Implement necessary code for Event Skipped
03d5c10bcf,2026-05-20,D,lua,5,,,PromyvionXPFix
179bd6512c,2026-05-20,D,sql,5,,,30260429_1 new items
5494bdd6f7,2026-05-20,C,cpp+sql,2,conflict,does not apply cleanly onto 9e6f10c2fb,Fix shifted hidden furniture NPCs
5af74497e6,2026-05-20,D,mod,1,,,[lua] Adds spawn points to old hnm module
5ff253c134,2026-05-20,C,lua,2,conflict,does not apply cleanly onto 9e6f10c2fb,Fix Light shot
c7105a52f1,2026-05-20,D,cpp,1,,,Add various DT to Frame setup
e78eafcdd0,2026-05-20,D,lua+sql,2,content-queued,see content_queue.csv; new_text_keys=0; applies_clean=no,Merge pull request #10067 from sruon/30260429_1_NPCs
fd8919775b,2026-05-20,D,lua+sql,15,,,Zilart King Audits
28cd75db19,2026-05-21,B,cpp,2,conflict,does not apply cleanly onto 9e6f10c2fb,"[core] Fix trust release messaging, improve despawn animation"
5a080a056c,2026-05-21,D,lua+sql,10,,,Macro Test mobs
63d8fe0e4d,2026-05-21,D,sql,1,,,Hide Terminal Coffer in Horlais Peak
709ff6998f,2026-05-21,D,lua+sql,4,,,Caedarva Locus Imps mobs
a81b329d4b,2026-05-21,B,cpp+lua,5,conflict,does not apply cleanly onto 9e6f10c2fb,[core] [lua] Make GEO trusts untargetable
abeb9776aa,2026-05-21,D,sql,2,,,Set Blade Bat Inner Horutoto to nonaggro
d7ee655cef,2026-05-21,B,cpp,2,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Prevent multiple trust releases during delayed action
dfd9a29e9f,2026-05-21,C,lua,2,conflict,does not apply cleanly onto 9e6f10c2fb,Adjust Tiny Mandragoras to not guard
00ad3121de,2026-05-22,D,lua,4,,,Stater zone Mandies no h2h penalty
64056cd7c5,2026-05-22,D,lua,14,,,Implement DA for Automaton WS / Update Automaton Shield Bash
